C店代码,开店时间,,当月B店铺天数,当月有消保天数,当月有旺铺天数,当月有淘客天数,当月有P4P天数,当月在线商品数之和,当月有记录天数,J/K近似平均商品,当月最后一天店铺状态,主营类目ID,主营类目名称,当月最后一天在线商品数,省份ID,省份名称,城市ID,城市名称,区县ID,区县名称,行政辖区ID,行政辖区,城市等级,ipv_pv,Ln(pv),ipv_uv,Ln(uv),sales,Ln(交易额),笔数,Ln(笔数),买家数,全部网店人员,合并-主营,主营店人员,共用人员,主营店营业额,主营店人员数,店主/合伙人人数,雇佣员工人数,帮工人数,店主/合伙人_工作时间,雇佣员工工作时长,帮工工作时长,平均月工资,开店之前的工作,其他,职业状态,职业状态_其他,是否最主要收入来源,性别,婚姻状况,年龄,学历,最常所在地,户口,旺旺uid,旺旺子账号数量,当月有登陆旺旺子账号数量,卖家星级ID,卖家星级名称
c06144,40025,20,0,30,0,0,4,1968,30,65.6,0,50006843,女鞋,60,510000,四川省,510100,成都市,510114,新都区,100282,成都市区,2,960,6.866933284,516,6.246106765,808.93,6.695712387,9,2.197224577,7,,1,,,,1,1,,,10,,,,无事可做（休息、待业）,,只经营网店，没有其他工作,,是唯一收入来源,女,未婚,18-22岁,高中/中专/职高,直辖市市区,农业户口,242972240,\N,0,6,1钻
c06145,39669,20,0,0,30,0,0,1526,30,50.86666667,0,50008090,3C数码配件,50,440000,广东省,440300,深圳市,440304,福田区,101591,深圳市区,1,304,5.717027701,253,5.533389489,350,5.857933154,7,1.945910149,7,,1,,,,1,1,,3,8,,8,,个体户,,只经营网店，没有其他工作,,是主要收入来源,男,未婚,26-30岁,初中或以下,直辖市市区,农业户口,120907534,\N,0,3,3星级
c06146,41127,,0,30,30,0,0,3301,30,110.0333333,0,50004958,移动/联通/电信充值中心,121,440000,广东省,440500,汕头市,440515,澄海区,101533,汕头市区,2,278,5.627621114,35,3.555348061,718.85,6.577652713,8,2.079441542,6,,1,,,,1,1,,,12,,,,全职主妇,,只经营网店，没有其他工作,,不是主要收入来源,女,已婚,26-30岁,大专,省会城市市区,非农业户口,27840180,\N,0,2,2星级
c06147,40024,20,0,30,30,28,0,300,30,10,0,16,女装/女士精品,11,440000,广东省,441400,梅州市,441481,兴宁市,101223,兴宁市,5,495,6.204557763,366,5.902633333,39,3.663561646,1,0,1,,1,,,,1,1,1,,,,,,受雇于企业（包括个体户）,,只经营网店，没有其他工作,,是唯一收入来源,男,未婚,23-25岁,高中/中专/职高,县城市区,非农业户口,278285782,\N,0,3,3星级
c06148,40907,,0,30,30,0,0,16378,30,545.9333333,0,50004958,移动/联通/电信充值中心,548,440000,广东省,440300,深圳市,440306,宝安区,101591,深圳市区,1,65,4.17438727,41,3.713572067,262.1,5.56872611,5,1.609437912,4,,2,,,,2,1,1,,10,10,,,个体户,,打理自己的实体店或工厂,,不是主要收入来源,男,已婚,26-30岁,大专,直辖市市区,农转非户口,137331519,\N,0,2,2星级
c06149,40024,20,0,30,30,0,0,2274,30,75.8,0,16,女装/女士精品,75,330000,浙江省,330100,杭州市,330104,江干区,100650,杭州市区,2,1643,7.404279118,889,6.790097236,1508,7.318539549,21,3.044522438,14,,1,,,,1,1,,,,,,,全职主妇,,只经营网店，没有其他工作,,不是主要收入来源,女,已婚,31-35岁,大专,省会城市市区,农业户口,140178752,\N,0,2,2星级
c06150,39787,,0,30,0,30,30,2880,30,96,0,21,居家日用/婚庆/创意礼品,96,330000,浙江省,330700,金华市,330782,义乌市,100899,义乌市,5,377,5.932245187,249,5.517452896,504.01,6.222596109,3,1.098612289,3,,1,,,,1,1,,,45,,,,受雇于企业,,受雇于企业（包括个体户）,,不是主要收入来源,男,已婚,31-35岁,大专,直辖市市区,非农业户口,43093315,\N,0,7,2钻
c06151,40022,20,0,30,30,30,30,711,30,23.7,0,50006843,女鞋,22,370000,山东省,370200,青岛市,370282,即墨市,101432,即墨市,5,1898,7.548555979,1185,7.077498054,1202,7.091742115,8,2.079441542,8,,2,,,,2,2,,,,,,,个体户,,打理自己的实体店或工厂,,不是主要收入来源,男,已婚,31-35岁,高中/中专/职高,农村,农业户口,275256097,\N,0,3,3星级
c06152,39760,,0,30,30,0,0,6138,30,204.6,0,50013864,饰品/流行首饰/时尚饰品新,88,330000,浙江省,331000,台州市,331004,路桥区,101685,台州市区,3,664,6.498282149,337,5.82008293,2629.26,7.874457717,14,2.63905733,7,2,2,2,,80,,2,1,,,,,,受雇于企业（包括个体户）,,打理自己的实体店或工厂,,不是主要收入来源,女,未婚,26-30岁,大专,地级市/县级市市区,农业户口,85322461,2,1,6,1钻
c06153,40606,,0,30,30,0,0,1200,30,40,0,50016349,厨房/餐饮用具,40,440000,广东省,440300,深圳市,440303,罗湖区,101591,深圳市区,1,150,5.010635294,108,4.682131227,515.4,6.244943298,6,1.791759469,6,,1,,,,1,1,,,2,,,,受雇于企业,,只经营网店，没有其他工作,,不是主要收入来源,男,未婚,31-35岁,大专,省会城市市区,农业户口,47750861,\N,0,2,2星级
c06154,39681,,0,30,30,30,0,8804,30,293.4666667,0,40,腾讯QQ专区,362,410000,河南省,411500,信阳市,411525,固始县,101950,固始县,6,3787,8.239329428,1899,7.549082711,970.38,6.877687747,25,3.218875825,22,,3,,,,3,1,,2,100,,,,个体户,,个体户,,不是主要收入来源,男,已婚,23-25岁,大专,县城市区,农转非户口,124893029,2,0,4,4星级
c06155,40021,20,0,0,30,0,30,3304,30,110.1333333,0,50006842,箱包皮具/热销女包/男包,109,330000,浙江省,330700,金华市,330723,武义县,100898,武义县,6,1571,7.359467638,1146,7.044032897,0,#NUM!,0,#NUM!,0,,1,,,,1,1,1,,5,5,,,在政府部门或事业单位工作,,在政府部门或事业单位工作,,不是主要收入来源,女,已婚,26-30岁,大专,地级市/县级市市区,农业户口,64839194,\N,0,3,3星级
c06156,40020,20,0,30,30,30,30,2354,30,78.46666667,0,16,女装/女士精品,81,440000,广东省,441800,清远市,441827,清新县,101442,清新县,6,6211,8.734077193,3718,8.220941168,10771.98,9.284703597,173,5.153291594,145,,1,,,,1,1,,,40,,,1200,受雇于企业,,只经营网店，没有其他工作,,不是主要收入来源,女,已婚,31-35岁,高中/中专/职高,县城市区,农业户口,267983315,1,0,10,5钻
c06157,40671,,0,0,30,0,0,210,30,7,0,50025004,个性定制/设计服务/DIY,7,440000,广东省,440100,广州市,440106,天河区,100550,广州市区,1,39,3.663561646,24,3.17805383,820,6.70930434,8,2.079441542,8,,1,,,,1,1,,,18,,,,受雇于企业,,受雇于企业（包括个体户）,,不是主要收入来源,男,已婚,31-35岁,大学本科,省会城市市区,非农业户口,132218986,\N,0,2,2星级
