from,to,time
深圳创新投,赛格导航,2001
深圳创新投,奶联科技,2001
深圳创新投,巨龙科教,2001
深圳创新投,键桥通讯,2001
深圳创新投,豪威,2001
深圳创新投,丰华生物,2001
深圳创新投,北京神雾,2001
上实投资,中芯国际,2001
上实投资,展讯,2001
上实投资,异联,2001
上实投资,凯门,2001
上实投资,胡庆余堂,2001
上海永宣,中生北控,2001
上海永宣,万全药业,2001
上海永宣,思华科技,2001
上海永宣,明华澳汉,2001
上海永宣,和佳软件,2001
上海永宣,富基旋风（富基融通）,2001
上海永宣,东江环保,2001
上海信投,亿通国际,2001
上海信投,泰力产业投资,2001
上海信投,东方网点,2001
上海科技投资,万达信息,2001
上海华盈,思华科技,2001
上海创投,上海生物芯片,2001
上海创投,睿星基因,2001
上海创投,交技发展,2001
上海贝岭,中正认证,2001
商菱投资,掌上灵通,2001
山西科技基金,山西证券,2001
山东高新投,鲁信创投（原鲁信高新）,2001
山东高新投,华东数控,2001
山东高新投,宝莫股份,2001
软银中国,量子无线,2001
清华科技园创投,数码视讯,2001
清华创投,维信诺,2001
清华创投,多福尔,2001
启迪创投,数码视讯,2001
启迪创投,火神动漫网,2001
普讯创投,思华科技,2001
盘古创富,凌讯科技,2001
宁夏金蚨,数码视讯,2001
南京高风投,大贺传媒,2001
美国国际集团,和舰科技,2001
曼聂舵,思华科技,2001
龙科创投,港湾网络,2001
联想投资,科大讯飞,2001
联和运通,一德企业,2001
联和投资,中科云龙,2001
联和投资,五洲药业,2001
力合清源创投,清华天安,2001
力合清源创投,清华斯维尔,2001
力合清源创投,南光资讯,2001
力合清源创投,力合微电子,2001
力合清源创投,力合高科技（清华力合）,2001
凯雷,长天科技,2001
凯雷,太平洋百货,2001
凯雷,群健有线电视,2001
江苏苏高新,中国传动,2001
江苏省高投,万邦生化,2001
江苏省高投,淮河化工,2001
江苏省高投,华星化工,2001
江苏省高投,合义化工,2001
江苏高科投,中国传动,2001
纪源资本,思华科技,2001
火炬,科大讯飞,2001
华兴创投,冠福家用,2001
华平,异联,2001
华平,港湾网络,2001
华恒创业投资,中材,2001
华工创投,倍爱康,2001
华登国际,中芯国际,2001
湖南高新创投集团,东江环保,2001
红塔创投,大族激光,2001
红点投资,硅谷动力,2001
和记黄埔,上海和黄药业,2001
和记黄埔,和黄健宝,2001
汉鼎亚太,中芯国际,2001
海汇投资,吉必盛,2001
